"","speed_sd","right_hip_max","right_ankle_ang_acc","right_ankle_ang_vel","left_shank_angle_ang_acc","left_shank_angle_ang_vel","left_shank_angle_min_sd_stand2sit","pelvic_avg_y_acc_stand2sit","pelvic_avg_y_acc"
"speed_sd","","","","","","","","",""
"right_hip_max"," 0.02    ","","","","","","","",""
"right_ankle_ang_acc"," 0.02    ","-0.03    ","","","","","","",""
"right_ankle_ang_vel"," 0.02    ","-0.03    "," 1.00****","","","","","",""
"left_shank_angle_ang_acc"," 0.00    ","-0.10*   ","-0.24****","-0.24****","","","","",""
"left_shank_angle_ang_vel"," 0.00    ","-0.10*   ","-0.24****","-0.24****"," 1.00****","","","",""
"left_shank_angle_min_sd_stand2sit"," 0.06    "," 0.04    "," 0.07    "," 0.07    "," 0.00    "," 0.00    ","","",""
"pelvic_avg_y_acc_stand2sit"," 0.04    ","-0.02    "," 0.12*   "," 0.12*   ","-0.14**  ","-0.14**  "," 0.01    ","",""
"pelvic_avg_y_acc"," 0.04    ","-0.02    "," 0.12*   "," 0.12*   ","-0.14**  ","-0.14**  "," 0.01    "," 1.00****",""
"pelvic_avg_y_acc_sit2stand"," 0.04    ","-0.02    "," 0.12*   "," 0.12*   ","-0.14**  ","-0.14**  "," 0.01    "," 1.00****"," 1.00****"
