,weight,accuracy,sensitivity,specificity,precision,f1_score,auc
1,1,0.909090909,1,0,0.909090909,0.952380952,0.533884298
2,2,0.909090909,1,0,0.909090909,0.952380952,0.527272727
3,3,0.909090909,1,0,0.909090909,0.952380952,0.509090909
4,4,0.909090909,1,0,0.909090909,0.952380952,0.523140496
5,5,0.909090909,1,0,0.909090909,0.952380952,0.52231405
6,6,0.900826446,0.990909091,0,0.908333333,0.947826087,0.517355372
7,7,0.867768595,0.954545455,0,0.905172414,0.92920354,0.514876033
8,8,0.909090909,1,0,0.909090909,0.952380952,0.5
9,9,0.826446281,0.881818182,0.272727273,0.923809524,0.902325581,0.510743802
10,10,0.760330579,0.809090909,0.272727273,0.917525773,0.859903382,0.514049587
11,11,0.710743802,0.754545455,0.272727273,0.912087912,0.825870647,0.515702479
12,12,0.619834711,0.654545455,0.272727273,0.9,0.757894737,0.511570248
13,13,0.553719008,0.563636364,0.454545455,0.911764706,0.696629213,0.51322314
14,14,0.438016529,0.427272727,0.545454545,0.903846154,0.580246914,0.529752066
15,15,0.462809917,0.454545455,0.545454545,0.909090909,0.606060606,0.517355372
16,16,0.396694215,0.381818182,0.545454545,0.893617021,0.535031847,0.52231405
17,17,0.388429752,0.372727273,0.545454545,0.891304348,0.525641026,0.510743802
18,18,0.330578512,0.3,0.636363636,0.891891892,0.448979592,0.52231405
19,19,0.347107438,0.318181818,0.636363636,0.897435897,0.469798658,0.514049587
20,20,0.305785124,0.272727273,0.636363636,0.882352941,0.416666667,0.517355372
