"","shadowMax","shadowMin"
"1",5.42265106383724,-2.15513606368358
"2",2.94233473163777,-2.25889323399292
"3",3.60028466846588,-2.37586580559244
"4",2.47700693356282,-2.86679541247247
"5",3.02263317768986,-1.97964714395049
"6",2.65341384913337,-2.12864265342138
"7",3.15094673989922,-2.58096249071311
"8",4.09788235143387,-2.16062643728887
"9",2.90748097360323,-2.10974488167914
"10",3.56966473889391,-2.59568433800686
"11",3.46457566594422,-2.27928195172075
"12",3.60084472201073,-2.82426189093102
"13",4.74435088760244,-2.20064930320824
"14",4.84009179922954,-2.37063760155916
"15",1.29965657123274,-2.88092044845329
"16",3.64405969373298,-4.3307483413361
"17",1.48742941070193,-1.92051120652703
"18",1.94560916611436,-1.73051759450673
"19",6.17224595827984,-2.24190630542346
"20",2.13156989999955,-2.10030639432404
"21",6.91784727879754,-2.61609913252167
"22",3.04214001168795,-3.21690709627652
"23",3.04372059623886,-2.24553665895313
"24",1.41255949256352,-2.19016656956202
"25",2.35709613667651,-3.19040861614034
"26",2.96196376346394,-2.57269728172494
"27",1.39140238964868,-2.74691607362033
"28",2.38814705621078,-2.97994137393539
"29",2.25398990605665,-2.02436036479938
"30",4.28610934155724,-2.05741345160789
"31",1.22440262518333,-2.27035228540836
"32",1.82769832965355,-3.07788817167279
"33",1.70849545649192,-3.07949428723511
"34",1.82710590806828,-3.0216880815767
"35",2.27425212540159,-2.46377221099605
"36",1.69757919960917,-2.82127551649929
"37",2.74202399796421,-2.96190382643166
"38",2.66152313027101,-3.58387923076619
"39",6.08593156528774,-1.79124150151447
"40",1.82063506409573,-3.07501139859781
"41",1.65800974482085,-3.40863751419384
"42",4.2624152997342,-3.16663623954583
"43",2.89081918511904,-2.83412909581239
"44",1.51988754399284,-2.62148273222646
"45",4.42680020403131,-2.04838166952544
"46",5.82119676505801,-2.51295305311147
"47",3.44174018967028,-2.45898091547277
"48",1.95420419914806,-2.64926683394835
"49",2.73230633687317,-1.7575474491274
"50",2.80673751050538,-3.36438284956414
"51",2.18253864946236,-1.78605188206359
"52",1.45095732649999,-2.02619371909642
"53",6.53567827303,-2.12235364166241
"54",1.57277686349557,-2.73359989979305
"55",4.73180063173214,-1.9105387339844
"56",3.72011344410856,-2.2770492547928
"57",0.930318070554392,-2.26786687380454
"58",8.26586486063424,-1.82208031458745
"59",1.8332422594785,-2.97928704849925
"60",4.71975362647891,-2.39099322491463
"61",4.33196790376356,-2.29502490072106
"62",2.41563311720776,-2.85006179308832
"63",3.75183103471773,-1.41306000279986
"64",1.81422131096048,-2.3423419657368
"65",3.24212227413785,-1.65258608984916
"66",2.5682494738708,-2.71709951617556
"67",3.32128145015378,-2.28666455157874
"68",2.29307380579182,-2.50024663353235
"69",3.89207755079598,-2.79604223366848
"70",3.27992830184492,-2.03157068587474
"71",5.75276258238224,-2.06954912315595
"72",2.10979156187019,-2.12022195050698
"73",2.73912743977318,-3.64155395296924
"74",3.04841940454631,-2.78520636416581
"75",5.18033069406181,-3.0456598320944
"76",2.22942068631225,-1.85284087988379
"77",5.92766034875386,-3.61808644684431
"78",1.8980806843721,-2.00088336596036
"79",2.14929331760451,-1.80114456854591
"80",3.30353237092701,-1.85207602712504
"81",2.28223378869577,-2.40939085616559
"82",5.10306480858247,-2.32590530611995
"83",1.65114609580462,-2.75550698142024
"84",3.27956459972569,-2.75654902146112
"85",1.54647224778901,-3.58433748076312
"86",1.86897947267239,-1.1119073515541
"87",2.11355712843356,-3.84332777416897
"88",1.66249546140135,-2.52642958140449
"89",2.2643192757596,-2.45823875624171
"90",3.87543887935205,-2.08338991792381
"91",3.78663541947502,-2.59230841750308
"92",0.615421696200264,-1.92225747818491
"93",2.59368737908735,-2.08247970842631
"94",2.35981001787367,-1.8610665682494
"95",4.89853476226618,-2.0127442192518
"96",3.51777077046289,-2.234712998394
"97",1.97467189755448,-2.97445177551411
"98",3.42778641772361,-3.26712930097405
"99",2.39655490431096,-2.02357379661364
